Time,Date ,MAC,Temperature/C,Moisture/''
20:10:06,8/24/2021,B8:27:EB:69:74:52,38.12,422
20:30:04,8/24/2021,B8:27:EB:69:74:52,38.88,407
20:32:04,8/24/2021,B8:27:EB:55:04:6A,36.83,352
20:35:09,8/24/2021,B8:27:EB:7E:B4:0C,37.77,332
20:40:05,8/24/2021,B8:27:EB:36:C6:86,37.19,289
21:00:04,8/24/2021,B8:27:EB:7E:B4:0C,36.87,321
21:00:05,8/24/2021,B8:27:EB:36:C6:86,36.57,389
21:00:06,8/24/2021,B8:27:EB:55:04:6A,36.27,341
21:00:12,8/24/2021,B8:27:EB:69:74:52,35.98,391
21:30:06,8/24/2021,B8:27:EB:69:74:52,35.68,413
21:32:04,8/24/2021,B8:27:EB:55:04:6A,35.38,401
21:35:05,8/24/2021,B8:27:EB:7E:B4:0C,35.09,389
21:40:03,8/24/2021,B8:27:EB:36:C6:86,34.79,390
22:00:04,8/24/2021,B8:27:EB:55:04:6A,36.66,354
22:00:05,8/24/2021,B8:27:EB:7E:B4:0C,35.98,332
22:00:06,8/24/2021,B8:27:EB:69:74:52,36.12,301
22:00:06,8/24/2021,B8:27:EB:36:C6:86,35.71,334
22:30:06,8/24/2021,B8:27:EB:69:74:52,35.44,324
22:32:08,8/24/2021,B8:27:EB:55:04:6A,35.17,348
22:35:07,8/24/2021,B8:27:EB:7E:B4:0C,36.01,330
22:40:04,8/24/2021,B8:27:EB:36:C6:86,35.89,329
23:00:03,8/24/2021,B8:27:EB:36:C6:86,35.61,329
23:00:04,8/24/2021,B8:27:EB:55:04:6A,35.58,328
23:00:07,8/24/2021,B8:27:EB:7E:B4:0C,35.54,328
23:00:07,8/24/2021,B8:27:EB:69:74:52,35.50,327
23:30:07,8/24/2021,B8:27:EB:69:74:52,35.47,355
23:32:04,8/24/2021,B8:27:EB:55:04:6A,35.43,356
23:35:06,8/24/2021,B8:27:EB:7E:B4:0C,35.39,344
23:40:04,8/24/2021,B8:27:EB:36:C6:86,35.36,357
0:04:02,8/25/2021,B8:27:EB:69:74:52,35.32,334
1:44:11,8/25/2021,B8:27:EB:69:74:52,35.28,333
2:00:04,8/25/2021,B8:27:EB:36:C6:86,35.25,332
2:00:05,8/25/2021,B8:27:EB:55:04:6A,35.21,332
2:00:07,8/25/2021,B8:27:EB:69:74:52,35.17,331
2:06:58,8/25/2021,B8:27:EB:7E:B4:0C,35.14,330
2:30:06,8/25/2021,B8:27:EB:69:74:52,35.10,329
