time of sampling,date of sampling,MN's MAC Address,Temperature/C ,Moisture/''
21:01:04,6/20/2021,B8:27:EB:55:04:6A,28.52,317
21:03:03,6/20/2021,B8:27:EB:44:04:B1,28.08,315
21:05:05,6/21/2021,B8:27:EB:3E:4F:56,29.51,315
21:07:04,6/21/2021,B8:27:EB:7E:B4:0C,29.1,310
21:07:06,6/21/2021,B8:27:EB:36:C6:86,29.88,311
21:10:03,6/21/2021,B8:27:EB:69:74:52,28.25,313
12:01:04,6/24/2021,B8:27:EB:55:04:6A,24.4,786
12:03:03,6/24/2021,B8:27:EB:7E:B4:0C,23.36,719
12:05:05,6/24/2021,B8:27:EB:44:04:B1,23.22,566
12:07:04,6/24/2021,B8:27:EB:3E:4F:56,23.54,590
12:07:06,6/24/2021,B8:27:EB:36:C6:86,24.13,643
12:10:03,6/24/2021,B8:27:EB:69:74:52,22.35,651
15:01:06,6/24/2021,B8:27:EB:55:04:6A,24.72,808
15:03:04,6/24/2021,B8:27:EB:7E:B4:0C,23.73,754
15:05:05,6/24/2021,B8:27:EB:44:04:B1,23.22,567
15:07:03,6/24/2021,B8:27:EB:3E:4F:56,24.38,5585
15:07:06,6/24/2021,B8:27:EB:36:C6:86,24.44,639
15:10:05,6/24/2021,B8:27:EB:69:74:52,24.13,652
18:01:04,6/24/2021,B8:27:EB:55:04:6A,23.03,786
18:03:04,6/24/2021,B8:27:EB:7E:B4:0C,23.52,728
18:05:05,6/24/2021,B8:27:EB:44:04:B1,22.9,595
18:07:05,6/24/2021,B8:27:EB:3E:4F:56,24.38,599
18:07:06,6/24/2021,B8:27:EB:36:C6:86,23.83,668
18:10:08,6/24/2021,B8:27:EB:69:74:52,22.77,589
21:01:08,6/24/2021,B8:27:EB:55:04:6A,18.92,774
21:03:03,6/24/2021,B8:27:EB:7E:B4:0C,18.86,622
21:05:04,6/24/2021,B8:27:EB:44:04:B1,18.68,593
21:07:05,6/24/2021,B8:27:EB:36:C6:86,19.32,676
21:07:06,6/24/2021,B8:27:EB:3E:4F:56,19.3,609
21:10:07,6/24/2021,B8:27:EB:69:74:52,18.35,680
0:01:03,6/25/2021,B8:27:EB:55:04:6A,18.38,778
0:03:07,6/25/2021,B8:27:EB:7E:B4:0C,17.94,630
0:03:07,6/25/2021,B8:27:EB:7E:B4:0C,17.41,592
0:07:05,6/25/2021,B8:27:EB:3E:4F:56,18.35,612
0:07:06,6/25/2021,B8:27:EB:36:C6:86,18.17,657
0:10:03,6/25/2021,B8:27:EB:69:74:52,17.4,692
3:01:04,6/25/2021,B8:27:EB:55:04:6A,15.85,767
3:03:03,6/25/2021,B8:27:EB:7E:B4:0C,16.52,635
3:05:06,6/25/2021,B8:27:EB:44:04:B1,16.14,600
3:07:04,6/25/2021,B8:27:EB:36:C6:86,17.13,531
3:07:05,6/25/2021,B8:27:EB:3E:4F:56,16.56,611
3:10:04,6/25/2021,B8:27:EB:69:74:52,15.82,696
6:01:03,6/25/2021,B8:27:EB:55:04:6A,16.16,766
6:03:05,6/25/2021,B8:27:EB:7E:B4:0C,16.11,640
6:05:05,6/25/2021,B8:27:EB:44:04:B1,15.73,595
6:07:03,6/25/2021,B8:27:EB:36:C6:86,16.82,663
6:07:05,6/25/2021,B8:27:EB:3E:4F:56,16.23,634
9:01:04,6/25/2021,B8:27:EB:55:04:6A,17.22,824
9:01:04,6/25/2021,B8:27:EB:55:04:6A,17.04,654
9:05:07,6/25/2021,B8:27:EB:44:04:B1,16.46,595
9:07:04,6/25/2021,B8:27:EB:3E:4F:56,17.29,608
9:07:07,6/25/2021,B8:27:EB:36:C6:86,17.45,682
9:10:04,6/25/2021,B8:27:EB:69:74:52,16.03,740
12:01:04,6/25/2021,B8:27:EB:55:04:6A,17.96,817
12:03:03,6/25/2021,B8:27:EB:7E:B4:0C,17.94,740
12:05:08,6/25/2021,B8:27:EB:44:04:B1,17.52,646
12:07:04,6/25/2021,B8:27:EB:3E:4F:56,18.46,715
12:07:05,6/25/2021,B8:27:EB:36:C6:86,18.8,682
12:10:05,6/25/2021,B8:27:EB:69:74:52,17.93,690
15:01:04,6/25/2021,B8:27:EB:55:04:6A,20.49,804
15:03:07,6/25/2021,B8:27:EB:7E:B4:0C,20.37,757
15:05:05,6/25/2021,B8:27:EB:44:04:B1,19.74,630
15:07:04,6/25/2021,B8:27:EB:3E:4F:56,20.78,723
15:07:06,6/25/2021,B8:27:EB:36:C6:86,20.68,682
15:10:04,6/25/2021,B8:27:EB:69:74:52,19.61,705
18:01:04,6/25/2021,B8:27:EB:55:04:6A,22.52,774
18:03:06,6/25/2021,B8:27:EB:7E:B4:0C,22.51,720
18:05:04,6/25/2021,B8:27:EB:44:04:B1,21.95,629
18:07:04,6/25/2021,B8:27:EB:3E:4F:56,23.01,652
18:07:04,6/25/2021,B8:27:EB:36:C6:86,23.42,705
18:10:04,6/25/2021,B8:27:EB:69:74:52,21.94,735
21:01:04,6/25/2021,B8:27:EB:55:04:6A,21.44,787
21:03:06,6/25/2021,B8:27:EB:7E:B4:0C,21.18,716
21:05:07,6/25/2021,B8:27:EB:44:04:B1,21,639
21:07:03,6/25/2021,B8:27:EB:3E:4F:56,21.31,655
21:07:07,6/25/2021,B8:27:EB:36:C6:86,21.72,702
21:10:03,6/25/2021,B8:27:EB:69:74:52,20.56,720
0:01:04,6/26/2021,B8:27:EB:55:04:6A,18.28,766
0:03:06,6/26/2021,B8:27:EB:7E:B4:0C,18.45,711
0:05:04,6/26/2021,B8:27:EB:44:04:B1,18.36,626
0:07:04,6/26/2021,B8:27:EB:36:C6:86,19.32,704
0:07:04,6/26/2021,B8:27:EB:3E:4F:56,18.22,664
0:10:04,6/26/2021,B8:27:EB:69:74:52,17.72,707
3:01:04,6/26/2021,B8:27:EB:55:04:6A,17.98,803
3:03:06,6/26/2021,B8:27:EB:7E:B4:0C,18.04,710
3:05:05,6/26/2021,B8:27:EB:44:04:B1,17.73,635
3:07:04,6/26/2021,B8:27:EB:3E:4F:56,18.14,662
3:07:06,6/26/2021,B8:27:EB:36:C6:86,18.6,725
3:10:05,6/26/2021,B8:27:EB:69:74:52,17.4,718
6:01:04,6/26/2021,B8:27:EB:55:04:6A,19.12,762
6:03:07,6/26/2021,B8:27:EB:7E:B4:0C,19.57,707
6:05:04,6/26/2021,B8:27:EB:44:04:B1,18.78,643
6:07:04,6/26/2021,B8:27:EB:3E:4F:56,19.51,655
6:10:03,6/26/2021,B8:27:EB:69:74:52,18.88,713
9:01:04,6/26/2021,B8:27:EB:55:04:6A,22.18,785
9:03:05,6/26/2021,B8:27:EB:7E:B4:0C,21.21,709
9:05:06,6/26/2021,B8:27:EB:44:04:B1,2122,641
9:07:03,6/26/2021,B8:27:EB:3E:4F:56,23.34,654
9:07:06,6/26/2021,B8:27:EB:36:C6:86,22.56,726
9:10:04,6/26/2021,B8:27:EB:69:74:52,21.93,721
12:01:06,6/26/2021,B8:27:EB:55:04:6A,26.6,779
12:03:07,6/26/2021,B8:27:EB:7E:B4:0C,26.16,718
12:05:34,6/26/2021,B8:27:EB:44:04:B1,24.8,641
12:07:04,6/26/2021,B8:27:EB:3E:4F:56,27.24,649
12:07:12,6/26/2021,B8:27:EB:36:C6:86,26.36,717
12:10:08,6/26/2021,B8:27:EB:69:74:52,25.72,723
15:01:04,6/26/2021,B8:27:EB:55:04:6A,27.26,902
15:03:04,6/26/2021,B8:27:EB:7E:B4:0C,27.07,728
15:05:08,6/26/2021,B8:27:EB:44:04:B1,26.07,634
15:07:06,6/26/2021,B8:27:EB:36:C6:86,27.68,711
15:10:05,6/26/2021,B8:27:EB:69:74:52,26.35,697
18:01:03,6/26/2021,B8:27:EB:55:04:6A,26.31,906
18:03:06,6/26/2021,B8:27:EB:7E:B4:0C,25.55,719
18:05:07,6/26/2021,B8:27:EB:44:04:B1,25.33,6337
18:07:04,6/26/2021,B8:27:EB:36:C6:86,26.11,709
18:07:06,6/26/2021,B8:27:EB:3E:4F:56,26.74,648
18:10:05,6/26/2021,B8:27:EB:69:74:52,25.19,711
21:01:04,6/26/2021,B8:27:EB:55:04:6A,24.09,801
21:03:04,6/26/2021,B8:27:EB:7E:B4:0C,23.31,754
21:05:08,6/26/2021,B8:27:EB:44:04:B1,23.32,631
21:07:04,6/26/2021,B8:27:EB:3E:4F:56,24.27,668
21:07:05,6/26/2021,B8:27:EB:36:C6:86,24.02,762
21:10:04,6/26/2021,B8:27:EB:69:74:52,23.4,713
0:01:03,6/27/2021,B8:27:EB:55:04:6A,23.24,810
0:03:03,6/27/2021,B8:27:EB:7E:B4:0C,22.81,679
0:05:05,6/27/2021,B8:27:EB:44:04:B1,22.58,656
0:07:03,6/27/2021,B8:27:EB:3E:4F:56,23.11,678
0:07:05,6/27/2021,B8:27:EB:36:C6:86,23.4,759
0:10:03,6/27/2021,B8:27:EB:69:74:52,22.45,705
3:01:14,6/27/2021,B8:27:EB:55:04:6A,23.03,784
3:03:05,6/27/2021,B8:27:EB:7E:B4:0C,22.3,643
3:05:05,6/27/2021,B8:27:EB:44:04:B1,21.91,664
3:07:04,6/27/2021,B8:27:EB:3E:4F:56,23.32,664
3:07:04,6/27/2021,B8:27:EB:36:C6:86,23.61,771
3:10:03,6/27/2021,B8:27:EB:69:74:52,21.93,701
6:01:10,6/27/2021,B8:27:EB:55:04:6A,23.35,747
6:03:06,6/27/2021,B8:27:EB:7E:B4:0C,23.01,608
6:05:08,6/27/2021,B8:27:EB:44:04:B1,22.08,660
6:07:07,6/27/2021,B8:27:EB:36:C6:86,23.81,713
6:10:04,6/27/2021,B8:27:EB:69:74:52,22.66,715
9:01:04,6/27/2021,B8:27:EB:55:04:6A,25.34,828
9:03:06,6/27/2021,B8:27:EB:7E:B4:0C,24.44,594
9:05:06,6/27/2021,B8:27:EB:44:04:B1,23.53,0
9:07:04,6/27/2021,B8:27:EB:36:C6:86,25.49,725
9:07:07,6/27/2021,B8:27:EB:3E:4F:56,25.55,635
9:10:05,6/27/2021,B8:27:EB:69:74:52,24.25,708
12:01:04,6/27/2021,B8:27:EB:55:04:6A,28.11,824
12:03:06,6/27/2021,B8:27:EB:7E:B4:0C,26.06,583
12:05:05,6/27/2021,B8:27:EB:44:04:B1,25.54,0
12:07:07,6/27/2021,B8:27:EB:36:C6:86,27.57,708
12:07:08,6/27/2021,B8:27:EB:3E:4F:56,27.34,608
12:10:04,6/27/2021,B8:27:EB:69:74:52,26.98,704
15:01:03,6/27/2021,B8:27:EB:55:04:6A,30.21,804
15:03:13,6/27/2021,B8:27:EB:7E:B4:0C,28.3,714
15:05:04,6/27/2021,B8:27:EB:44:04:B1,27.23,3
15:07:05,6/27/2021,B8:27:EB:3E:4F:56,29.23,613
15:07:06,6/27/2021,B8:27:EB:36:C6:86,29.14,715
15:10:03,6/27/2021,B8:27:EB:69:74:52,28.35,663
18:01:04,6/27/2021,B8:27:EB:55:04:6A,28.95,844
18:03:07,6/27/2021,B8:27:EB:7E:B4:0C,28.9,684
18:05:04,6/27/2021,B8:27:EB:44:04:B1,27.97,13
18:07:05,6/27/2021,B8:27:EB:36:C6:86,29.35,722
18:07:07,6/27/2021,B8:27:EB:3E:4F:56,29.88,626
18:10:17,6/27/2021,B8:27:EB:69:74:52,28.66,664
21:01:03,6/27/2021,B8:27:EB:55:04:6A,26.1,810
21:03:06,6/27/2021,B8:27:EB:7E:B4:0C,26.87,555
21:05:05,6/27/2021,B8:27:EB:44:04:B1,25.44,69
21:07:04,6/27/2021,B8:27:EB:36:C6:86,26.43,718
21:10:04,6/27/2021,B8:27:EB:69:74:52,25.04,674
21:54:43,6/27/2021,B8:27:EB:3E:4F:56,25.65,741
0:01:05,6/28/2021,B8:27:EB:55:04:6A,24.4,804
0:03:07,6/28/2021,B8:27:EB:7E:B4:0C,24.03,576
0:05:04,6/28/2021,B8:27:EB:44:04:B1,23.32,130
0:07:06,6/28/2021,B8:27:EB:36:C6:86,24.55,706
0:10:05,6/28/2021,B8:27:EB:69:74:52,23.82,691
0:54:37,6/28/2021,B8:27:EB:3E:4F:56,24.59,773
3:01:05,6/28/2021,B8:27:EB:55:04:6A,23.14,793
3:03:06,6/28/2021,B8:27:EB:7E:B4:0C,23.01,568
3:05:05,6/28/2021,B8:27:EB:44:04:B1,22.9,126
3:07:07,6/28/2021,B8:27:EB:36:C6:86,24.02,706
3:10:04,6/28/2021,B8:27:EB:69:74:52,22.77,704
3:54:37,6/28/2021,B8:27:EB:3E:4F:56,24.17,768
6:01:04,6/28/2021,B8:27:EB:55:04:6A,23.14,800
6:03:06,6/28/2021,B8:27:EB:7E:B4:0C,22.4,637
6:05:06,6/28/2021,B8:27:EB:44:04:B1,22.37,152
6:07:05,6/28/2021,B8:27:EB:36:C6:86,24.02,703
